GENE	Par_RR_dS	Par_RR_Omega	Par_RR_dS_PP	Par_RR_Omega_PP	Sig
8109.38219338.OsWAK51___OsWAK_receptor_like_protein_kinase__expressed	-0.0385	-0.0135	0.47	0.49	*
811.38089608.expressed_protein	0.528	0.219	0.86	0.64	*
8111.38219354.expressed_protein	-0.377	0.298	0.16	0.74	*
8112.38219388.expressed_protein	-0.049	0.196	0.47	0.61	*
8113.38219398.expressed_protein	-0.118	-0.00988	0.42	0.49	*
8115.38219428.expressed_protein	-0.0847	-0.26	0.44	0.31	*
8119.38219512.heat_shock_factor_binding_protein	0.0532	-0.173	0.54	0.36	*
812.38089394.expressed_protein	-0.465	-0.158	0.082	0.41	*
812.38089652.P_loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein	0.625	-0.728	1	0	*
8124.38219583.	0.0348	0.222	0.55	0.74	*
8125.38219601.	0.209	-0.36	0.68	0.28	*
8126.38219607.adenylate_kinase__putative__expressed	-0.224	-0.301	0.28	0.25	*
813.38089403.expressed_protein	0.00707	-0.808	0.49	0.019	*
8130.38219745.MATE_efflux_family_protein	-0.784	-0.379	0.0093	0.14	*
814.38089479.	-0.403	-0.032	0.076	0.47	*
8140.38219937.Major_facilitator_superfamily_protein	0.141	-0.396	0.63	0.14	*
8142.38220012.calmodulin_binding_heat_shock_protein__putative__expressed	-0.676	-0.564	0.036	0.1	*
8143.38220013.Thioredoxin_superfamily_protein	-0.522	-0.129	0.048	0.39	*
8145.38220049.expressed_protein	-0.196	0.0552	0.37	0.53	*
8148.38220124.GHMP_kinases_ATP_binding_protein__putative__expressed	0.109	-0.733	0.59	0.043	*
816.38089702.replication_factor_C_2	0.353	0.166	0.75	0.59	*
8161.38220305.HSP20_like_chaperones_superfamily_protein	0.544	0.464	0.85	0.81	*
8168.38220396.glutamine_synthetase_2	-0.0132	-0.314	0.5	0.23	*
8169.38220400.casein_lytic_proteinase_B4	-0.371	0.00563	0.15	0.51	*
817.38089518.expressed_protein	0.485	-0.213	0.93	0.3	*
8171.38220425.G_protein_alpha_subunit__putative__expressed	-0.212	0.206	0.32	0.64	*
818.38089735.Protein_of_unknown_function_DUF455	-0.0857	0.245	0.4	0.7	*
8184.38220781.RNA_cap_guanine_N2_methyltransferase_domain_containing_protein__expressed	-0.547	-0.252	0.03	0.26	*
8185.38220784.Cysteine_proteinases_superfamily_protein	0.113	0.0445	0.57	0.53	*
8189.38220839.response_regulator_13	0.0545	-0.546	0.53	0.13	*
819.38089552.DNA_binding_protein_related__putative__expressed	-0.0363	0.212	0.47	0.62	*
819.38089737.Protein_of_unknown_function_DUF455	0.418	-0.471	0.86	0.14	*
8190.38220840.response_regulator_13	-0.193	0.104	0.33	0.6	*
820.38089563.	0.0407	-0.539	0.52	0.11	*
8200.38220972.metallo_beta_lactamase_family_protein__putative__expressed	-0.222	-0.325	0.34	0.3	*
8203.38220993.dehydration_response_related_protein__putative__expressed	-nan	-nan	0.28	0.71	*
8204.38221011.GA19388_PA__putative__expressed	-0.47	-0.0358	0.09	0.49	*
8206.38221022.purple_acid_phosphatase_6	-0.55	0.0071	0.19	0.5	*
8207.38221036.alpha_N_arabinofuranosidase_A_precursor__putative__expressed	-0.417	-0.53	0.23	0.18	*
8208.38221037.Protein_phosphatase_2C_family_protein	-0.148	-0.293	0.4	0.3	*
821.38089584.expressed_protein	-0.517	-0.792	0.11	0.0035	*
8211.38221068.containing_DUF163__putative__expressed	-0.471	0.119	0.18	0.58	*
8212.38221092.ribulose_bisphosphate_carboxylase_large_chain_precursor__putative__expressed	-0.0336	-0.0273	0.47	0.48	*
8213.38221093.	-0.0166	-0.0188	0.48	0.48	*
8215.38221164.mitochondrial_carrier_protein__putative__expressed	-0.533	-0.264	0.12	0.3	*
8217.38221202.expressed_protein	0.0927	-0.264	0.58	0.26	*
8218.38221220.SNARE_domain_containing_protein__putative__expressed	0.54	-0.287	0.93	0.21	*
8219.38221238.expressed_protein	0.369	-0.589	0.74	0.15	*
822.38089608.expressed_protein	0.464	0.283	0.82	0.69	*
822.38089814.S1_RNA_binding_domain_containing_protein__expressed	-0.507	-0.194	0.07	0.32	*
8220.38221241.expressed_protein	-0.421	-0.0665	0.17	0.42	*
8224.38221298.expressed_protein	-0.725	-0.232	0.014	0.27	*
8227.38221315.Prefoldin_chaperone_subunit_family_protein	-0.111	-0.386	0.4	0.25	*
823.38089652.P_loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein	-0.0253	0.0442	0.45	0.55	*
8232.38221394.expressed_protein	-0.477	-0.2	0.11	0.29	*
8233.38221439.UPF0041_domain_containing_protein__putative__expressed	0.542	-0.429	0.85	0.21	*
8237.38221527.expressed_protein	-0.023	-0.151	0.47	0.36	*
824.38089824.	-0.292	0.39	0.26	0.74	*
8243.38221620.sulfite_oxidase__putative__expressed	-0.405	0.146	0.19	0.61	*
8246.38221648.RNAse_THREE_like_protein_2	-0.362	-0.591	0.23	0.12	*
8248.38221663.cobalt_ion_transporter__putative__expressed	-0.433	-0.197	0.12	0.33	*
825.38089826.Tetratricopeptide_repeat__TPR__like_superfamily_protein	-0.3	0.506	0.29	0.8	*
8253.38221822.AP2_like_ethylene_responsive_transcription_factor_AINTEGUMENTA__putative__expressed	0.107	0.154	0.59	0.6	*
8257.38221863.fatty_acid_desaturase_family_protein	-0.569	-0.256	0.025	0.22	*
827.38089702.replication_factor_C_2	0.33	0.104	0.74	0.56	*
8272.38222173.protein_binding	-0.541	0.266	0.11	0.75	*
8273.38222187.protein_binding	0.104	0.157	0.57	0.59	*
8277.38222316.expressed_protein	0.229	0.0644	0.67	0.54	*
8284.38222467.ThiF_family_protein	0.531	0.468	0.89	0.88	*
829.38089735.Protein_of_unknown_function_DUF455	-0.0695	0.171	0.43	0.65	*
8290.38222500.	-0.363	-0.234	0.19	0.33	*
8291.38222518.lycopene_epsilon_cyclase__chloroplast_precursor__putative__expressed	0.376	-0.0195	0.91	0.48	*
8292.38222523.	0.0752	-0.0904	0.55	0.43	*
8296.38222622.	-0.292	-0.155	0.25	0.38	*
8297.38222653.annexin__putative__expressed	-0.927	-0.463	0.0081	0.17	*
830.38089737.Protein_of_unknown_function_DUF455	0.321	-0.565	0.78	0.11	*
8300.38222678.Acyl_CoA_N_acyltransferases__NAT__superfamily_protein	-0.496	0.298	0.16	0.7	*
8301.38222682.Nucleotide_diphospho_sugar_transferases_superfamily_protein	0.0544	0.18	0.53	0.62	*
8302.38222694.zinc_ion_binding_nucleic_acid_binding_zinc_ion_binding	-0.305	-0.203	0.23	0.36	*
8304.38222719.F_actin_capping_protein_subunit_beta__putative__expressed	0.107	-0.414	0.56	0.12	*
8309.38222775.aminotransferase__putative__expressed	-0.191	-0.68	0.33	0.079	*
8310.38222785.GRAS_family_transcription_factor	-0.255	-0.077	0.32	0.43	*
8312.38222836.kinase__pfkB_family__putative__expressed	-0.578	-0.0071	0.035	0.51	*
8313.38222855.ribosomal_protein__putative__expressed	-0.25	-0.0805	0.23	0.42	*
8316.38222906.expressed_protein	-0.294	-0.107	0.29	0.43	*
8317.38222923.OsPOP3___Putative_Prolyl_Oligopeptidase_homologue__expressed	-0.339	-0.39	0.22	0.24	*
8329.38223105.nnrU__putative__expressed	-0.102	-0.0221	0.41	0.5	*
833.38089814.S1_RNA_binding_domain_containing_protein__expressed	-0.515	-0.167	0.063	0.34	*
8330.38223107.	0.0175	0.561	0.51	0.85	*
8331.38223140.pentatricopeptide__putative__expressed	-0.462	-0.102	0.11	0.43	*
8333.38223173.hydroxysteroid_dehydrogenase_5	-0.537	-0.209	0.073	0.31	*
8341.38223385.RNA_recognition_motif_containing_protein__putative__expressed	0.267	-0.417	0.7	0.18	*
8342.38223410.RNA_recognition_motif_containing_protein__putative__expressed	0.304	-0.633	0.72	0.047	*
8344.38223443.DNA_polymerase_I__putative__expressed	-0.312	0.224	0.26	0.64	*
8347.38223499.embryo_defective_2759	0.0145	-0.0994	0.49	0.42	*
8349.38223529.adaptor_complexes_medium_subunit_family_domain_containing_protein__expressed	-0.365	-0.381	0.24	0.21	*
835.38089824.	-0.3	0.324	0.26	0.7	*
8353.38223556.Threonyl_tRNA_synthetase	-0.582	-0.338	0.072	0.14	*
8359.38223687.acylphosphatase_family	-0.449	-0.39	0.18	0.24	*
836.38089826.Tetratricopeptide_repeat__TPR__like_superfamily_protein	-0.339	0.498	0.27	0.8	*
8361.38223740.peptide_transporter__putative__expressed	-0.388	-0.543	0.25	0.17	*
8362.38223766.Nucleic_acid_binding__OB_fold_like_protein	0.152	-0.312	0.66	0.19	*
8365.38223860.E3_ubiquitin_protein_ligase_MGRN1__putative__expressed	-0.173	-0.0415	0.36	0.48	*
8370.38223973.proline_rich_family_protein__putative__expressed	-0.465	-0.175	0.19	0.38	*
8371.38224006.proline_rich_family_protein__putative__expressed	0.408	-0.229	0.95	0.18	*
8373.38224020.NAD_P__binding_Rossmann_fold_superfamily_protein	-0.419	-0.74	0.19	0.049	*
8375.38224079.Nucleic_acid_binding__OB_fold_like_protein	-0.364	0.201	0.19	0.63	*
8378.38224156.N_rich_protein__putative__expressed	-0.363	-0.798	0.24	0.019	*
8379.38224158.expressed_protein	-0.12	0.00786	0.37	0.53	*
838.38090025.tetrapyrrole_methylase_family_protein__putative__expressed	0.027	-0.519	0.51	0.19	*
8383.38224281.deoxymugineic_acid_synthase1__putative	-0.318	-0.159	0.28	0.4	*
8385.38224344.transcription_factor_HBP_1b__putative__expressed	0.178	0.205	0.61	0.63	*
8387.38224381.damaged_DNA_binding_exodeoxyribonuclease_IIIs	0.195	0.515	0.67	0.87	*
8394.38224498.glutathione_S_transferase__putative__expressed	-0.509	-0.517	0.11	0.079	*
8397.38224546.N2_N2_dimethylguanosine_tRNA_methyltransferase	-0.6	-0.724	0.043	0.0024	*
8399.38224562.AMP_deaminase__putative__expressed	-0.282	0.546	0.25	0.92	*
8400.38224578.Tetratricopeptide_repeat__TPR__like_superfamily_protein	0.392	-0.683	0.78	0.053	*
8405.38224677.expressed_protein	0.671	0.26	0.96	0.73	*
8407.38224764.PAP_fibrillin_family_domain_containing_protein__expressed	-0.06	-0.468	0.46	0.21	*
8413.38224837.WD_domain__G_beta_repeat_domain_containing_protein__expressed	-0.0303	-0.296	0.46	0.21	*
8414.38224852.OsFBK15___F_box_domain_and_kelch_repeat_containing_protein__expressed	-0.4	-0.25	0.12	0.24	*
8417.38224887.DNAJ_heat_shock_N_terminal_domain_containing_protein	-0.222	-0.0533	0.33	0.46	*
8420.38224925.oxidoreductase__putative__expressed	0.204	0.0171	0.69	0.51	*
8425.38224988.N2__N2_dimethylguanosine_tRNA_methyltransferase__putative__expressed	-0.517	-0.38	0.068	0.14	*
843.38090094.expressed_protein	-0.292	0.304	0.28	0.69	*
8435.38225194.	-0.162	-0.377	0.36	0.22	*
8438.38225231.dehydrogenase__putative__expressed	-0.758	-0.434	0.011	0.12	*
8439.38225233.glycosyltransferase_sugar_binding_region_containing_DXD_motif__putative__expressed	-0.319	-0.453	0.17	0.14	*
844.38090095.neurochondrin_family_protein__putative__expressed	-0.327	-0.494	0.16	0.096	*
8447.38225315.Pectin_lyase_like_superfamily_protein	0.38	0.487	0.89	0.93	*
8450.38225327.G_protein_coupled_receptor_1	-0.597	-0.355	0.019	0.15	*
8451.38225328.G_protein_coupled_receptor_1	0.00779	-0.285	0.51	0.26	*
8456.38225395.expressed_protein	-0.0816	-0.79	0.41	0.0098	*
8459.38225433.	-0.617	-0.122	0.04	0.39	*
846.38090111.neurochondrin_family_protein__putative__expressed	-0.0724	0.165	0.45	0.62	*
8460.38225454.RNA_binding_RNA_binding	-0.446	-0.287	0.075	0.25	*
8473.38225682.ADP_ribosylation_factor_B1A	-0.443	-0.202	0.18	0.36	*
8478.38225777.pentatricopeptide__putative__expressed	-0.683	-0.444	0.019	0.11	*
8480.38225810.mitochondrial_28S_ribosomal_protein_S29_related	0.23	-0.334	0.68	0.2	*
8482.38225862.white_brown_complex_homolog_protein__putative__expressed	-0.496	-0.139	0.073	0.38	*
8483.38225870.ESP1__putative__expressed	-0.253	0.0831	0.3	0.55	*
8485.38225955.OsFtsH5__FtsH_protease__homologue_of_AtFtsH4__expressed	0.699	0.633	0.91	0.89	*
8489.38226050.HSP20_like_chaperones_superfamily_protein	-0.241	0.337	0.24	0.79	*
849.38090025.tetrapyrrole_methylase_family_protein__putative__expressed	0.0214	-0.583	0.51	0.16	*
8490.38226054.expressed_protein	-0.192	0.144	0.35	0.6	*
8492.38226075.monodehydroascorbate_reductase__putative__expressed	-0.219	-0.0596	0.31	0.45	*
8493.38226099.expressed_protein	0.185	0.054	0.7	0.55	*
8494.38226108.acclimation_of_photosynthesis_to__environment	-0.249	-0.389	0.24	0.16	*
8499.38226137.signal_peptide_peptidase	-0.271	0.0502	0.24	0.54	*
8500.38226142.NAD_P__binding_Rossmann_fold_superfamily_protein	0.448	0.729	0.92	0.99	*
8504.38226182.deoxyribonuclease_tatD__putative__expressed	-0.19	0.117	0.34	0.58	*
8506.38226196.Protein_of_unknown_function__DUF599	0.021	-0.323	0.52	0.17	*
8511.38226226.peroxidase_precursor__putative__expressed	-0.201	-0.367	0.35	0.24	*
8512.38226235.Chaperone_DnaJ_domain_superfamily_protein	0.373	-0.285	0.78	0.32	*
8518.38226333.NAD_P__binding_Rossmann_fold_superfamily_protein	-0.764	0.903	0.065	1	*
8520.38226383.dof_zinc_finger_domain_containing_protein__putative__expressed	-0.13	0.21	0.4	0.63	*
8523.38226421.expressed_protein	0.0915	-0.294	0.57	0.31	*
8532.38226572.	0.0972	-0.276	0.61	0.31	*
8535.38226578.DNA_directed_RNA_polymerase_III_subunit_RPC1__putative__expressed	-0.744	-0.297	0.019	0.21	*
8536.38226579.DNA_directed_RNA_polymerase_III_subunit_RPC1__putative__expressed	-0.518	0.586	0.13	0.9	*
8539.38226604.expressed_protein	-0.179	-0.0234	0.35	0.49	*
8542.38226723.actin_binding_protein_family	-0.378	-0.182	0.13	0.32	*
8549.38226812.H_+__ATPase_7	-0.321	-0.367	0.23	0.12	*
855.38090094.expressed_protein	-0.284	0.349	0.28	0.71	*
8552.38226844.expressed_protein	0.263	-0.174	0.71	0.38	*
8553.38226866.expressed_protein	-0.377	-0.251	0.19	0.23	*
8556.38226888.vesicle_transport_protein_GOT1B__putative__expressed	-0.106	-0.244	0.39	0.26	*
8558.38226896.	0.234	-0.566	0.64	0.15	*
856.38090095.neurochondrin_family_protein__putative__expressed	-0.334	-0.497	0.15	0.087	*
8564.38227010.mediator_subunit_8	-0.419	0.269	0.14	0.74	*
8565.38227011.expressed_protein	-0.236	-0.141	0.3	0.4	*
8575.38227154.esterase_PIR7A__putative__expressed	-0.293	-0.0874	0.28	0.43	*
8579.38227192.expressed_protein	-0.379	-0.449	0.13	0.11	*
858.38090111.neurochondrin_family_protein__putative__expressed	-0.143	0.239	0.39	0.67	*
8591.38227342.Mitochondrial_glycoprotein_family_protein	-0.391	0.00629	0.22	0.5	*
8596.38227454.Calcium_binding_EF_hand_family_protein	-0.0402	-0.416	0.46	0.24	*
8598.38227502.LSM_domain_containing_protein__expressed	-0.344	0.877	0.23	1	*
8601.38227563.	-0.103	0.588	0.44	0.84	*
8609.38227765.Polynucleotidyl_transferase__ribonuclease_H_like_superfamily_protein	-0.102	-0.155	0.43	0.36	*
8612.38227786.aminotransferase_domain_containing_protein__putative__expressed	-0.363	-0.493	0.22	0.18	*
8616.38227846.	-0.308	-0.163	0.26	0.36	*
8617.38227853.prefoldin_subunit__putative__expressed	-0.817	0.643	0.045	0.92	*
863.38090385.tetratricopeptide_repeat_domain_containing_protein__expressed	-0.219	-0.0335	0.27	0.46	*
8630.38228029.	-0.741	-0.928	0.062	0.00061	*
8636.38228137.mannosylglycoprotein_endo_beta_mannosidase__putative__expressed	-0.0759	-0.122	0.41	0.37	*
8648.38228310.SPRY_domain_containing_protein__putative__expressed	-0.435	0.237	0.13	0.65	*
8651.38228328.Myosin_heavy_chain_related_protein	-0.395	-0.443	0.16	0.14	*
8652.38228330.reduced_lateral_root_formation	-0.121	-0.192	0.38	0.37	*
8656.38228365.AT_rich_interaction_region__putative__expressed	0.0241	-0.52	0.54	0.02	*
8658.38228413.DnaK_family_protein__putative__expressed	0.48	-0.168	0.83	0.37	*
8661.38228454.Lojap_related_protein	-0.181	0.0555	0.37	0.54	*
8667.38228524.expressed_protein	-0.788	-0.893	0.067	0.013	*
8669.38228564.	-0.121	0.361	0.42	0.74	*
867.38090411.pentatricopeptide__putative__expressed	-0.415	-0.418	0.18	0.23	*
8671.38228653.like_AUXIN_RESISTANT_1	0.182	-0.228	0.66	0.31	*
8676.38228757.ACT_domain_containing_protein__expressed	-0.278	-0.312	0.27	0.31	*
8677.38228768.chlorophyll_A_B_binding_protein__putative__expressed	-0.668	-0.595	0.012	0.026	*
868.38090513.peroxiredoxin__putative__expressed	-0.274	0.585	0.33	0.85	*
8680.38228802.Glycosyl_hydrolase_superfamily_protein	0.615	-0.398	0.99	0.068	*
8683.38228943.	0.268	0.337	0.78	0.85	*
8686.38229011.long_cell_linked_locus_protein__putative__expressed	-0.00485	-0.287	0.49	0.33	*
8687.38229039.long_cell_linked_locus_protein__putative__expressed	0.000679	-0.452	0.5	0.21	*
8688.38229055.expressed_protein	-0.0119	-0.187	0.48	0.38	*
8689.38229078.F_box_protein_PP2_A15__putative__expressed	-0.189	0.0149	0.35	0.51	*
8691.38229128.	0.215	-0.199	0.73	0.28	*
8692.38229136.	0.405	-0.217	0.89	0.26	*
8693.38229149.HEAT_repeat_family_protein__putative__expressed	-0.22	-0.341	0.23	0.13	*
8695.38229231.phospholipase_A2__putative__expressed	0.626	0.45	0.96	0.91	*
8696.38229235.DUF292_domain_containing_protein__expressed	-0.134	-0.138	0.34	0.34	*
8697.38229237.phosphatase__putative__expressed	0.222	-0.682	0.66	0.085	*
87.38076922.arginine_biosynthesis_protein_ArgJ_family	-0.158	-0.93	0.37	0.0016	*
870.38090522.Putative_membrane_lipoprotein	0.0716	-0.235	0.55	0.33	*
8700.38229336.NDP1__putative__expressed	0.179	-0.333	0.7	0.25	*
8702.38229412.	-0.495	-0.371	0.1	0.16	*
8703.38229435.CHCH_domain_containing_protein__expressed	0.0149	-0.0619	0.5	0.47	*
8705.38229444.NADH_ubiquinone_oxidoreductase_related	-0.632	0.0276	0.01	0.53	*
8709.38229469.PPR_repeat_containing_protein__expressed	0.069	-0.904	0.54	0.019	*
871.38090526.expressed_protein	-0.000696	0.204	0.52	0.63	*
8714.38229525.MALE_GAMETOPHYTE_DEFECTIVE_2	0.188	0.363	0.69	0.85	*
8719.38229562.cycloartenol_synthase__putative__expressed	-0.137	-0.141	0.4	0.39	*
8721.38229591.	0.153	0.195	0.62	0.66	*
8723.38229601.	0.0744	-0.136	0.55	0.41	*
8725.38229666.expressed_protein	0.262	-0.00666	0.73	0.49	*
8726.38229700.adenosine_monophosphate_kinase	-0.219	-0.637	0.27	0.013	*
8731.38229761.tubulin_binding_cofactor_C__putative__expressed	-0.175	0.577	0.34	0.88	*
8738.38229853.kinesin_motor_domain_containing_protein__putative__expressed	0.0373	0.00365	0.53	0.51	*
8739.38229885.kinesin_motor_domain_containing_protein__putative__expressed	0.0334	0.122	0.54	0.58	*
8741.38229930.	0.182	-0.103	0.66	0.43	*
8742.38229938.PWWP_domain_containing_protein__expressed	-0.593	-0.0464	0.044	0.44	*
8743.38229948.	-0.416	-0.0533	0.2	0.46	*
8744.38229954.expressed_protein	-0.358	-0.512	0.15	0.14	*
8745.38229956.cation_transporting_ATPase__putative__expressed	0.0851	0.475	0.6	0.91	*
8746.38229968.	0.299	-0.413	0.7	0.23	*
875.38090385.tetratricopeptide_repeat_domain_containing_protein__expressed	-0.223	-0.0242	0.27	0.47	*
8757.38230170.AUTOPHAGY_6	0.404	-0.584	0.86	0.061	*
8762.38230310.Agenet_domain_containing_protein	-0.326	-0.348	0.14	0.22	*
8765.38230351.expressed_protein	-0.0238	-0.287	0.46	0.29	*
8766.38230357.	-0.0575	-0.249	0.47	0.35	*
8770.38230414.autophagy_related_protein__putative__expressed	0.0516	-0.0302	0.53	0.49	*
8772.38230446.low_molecular_weight_protein_tyrosine_phosphatase_slr0328__putative__expressed	0.236	-0.049	0.78	0.44	*
8774.38230474.ribonuclease_Ps	-0.418	-0.396	0.15	0.19	*
8775.38230504.ribonuclease_Ps	0.0542	0.333	0.54	0.73	*
8778.38230536.chaperonin_10	-0.221	0.745	0.33	0.98	*
878.38090585.HXXXD_type_acyl_transferase_family_protein	-0.508	-0.301	0.077	0.21	*
8781.38230683.	0.926	-0.886	1	0.0054	*
8788.38230957.	-0.863	-0.822	0.013	0.019	*
879.38090411.pentatricopeptide__putative__expressed	-0.442	-0.432	0.17	0.22	*
8799.38231166.oxidoreductase_domain_protein__putative__expressed	-0.528	-0.367	0.065	0.13	*
88.38076922.arginine_biosynthesis_protein_ArgJ_family	-0.105	-0.936	0.41	0.00033	*
880.38090513.peroxiredoxin__putative__expressed	-0.254	0.584	0.34	0.85	*
8803.38231226.chloroplast_50S_ribosomal_protein_L14__putative__expressed	0.0951	0.609	0.59	0.91	*
8811.38231472.O_fucosyltransferase_family_protein	-0.511	0.325	0.067	0.83	*
8812.38231500.O_fucosyltransferase_family_protein	-0.272	-0.442	0.26	0.17	*
8815.38231560.elongation_factor_P__EF_P__family_protein	0.527	-0.805	0.82	0.049	*
882.38090522.Putative_membrane_lipoprotein	-0.015	-0.261	0.48	0.33	*
8822.38231699.Duplicated_homeodomain_like_superfamily_protein	-0.303	-0.15	0.31	0.41	*
8824.38231772.expressed_protein	-0.555	-0.289	0.071	0.24	*
8827.38231822.	-0.484	-0.149	0.15	0.4	*
8829.38231845.ATP_synthase_epsilon_chain__mitochondrial	0.22	0.437	0.64	0.77	*
883.38090526.expressed_protein	0.0491	0.173	0.52	0.65	*
8830.38231855.ATP_synthase_epsilon_chain__mitochondrial	0.248	-0.00341	0.69	0.49	*
8836.38231948.RNA_recognition_motif_containing_protein__putative__expressed	-0.428	-0.41	0.12	0.22	*
8840.38232009.Aldolase_type_TIM_barrel_family_protein	-0.515	-0.0374	0.057	0.49	*
8841.38232010.	0.0878	-0.732	0.57	0.072	*
8843.38232078.Protein_of_unknown_function__DUF1423_	0.271	0.592	0.69	0.95	*
8848.38232211.	0.172	-0.521	0.65	0.18	*
8849.38232228.Restriction_endonuclease__type_II_like_superfamily_protein	0.192	0.206	0.72	0.7	*
8859.38232330.AP2_domain_containing_protein__expressed	-0.263	-0.0758	0.32	0.44	*
8861.38232383.conserved_hypothetical_protein	-0.538	-0.707	0.084	0.026	*
8862.38232398.CAP160_protein	-0.476	0.0181	0.16	0.49	*
8865.38232427.transmembrane_protein_16K__putative__expressed	-0.0987	-0.0365	0.38	0.46	*
8867.38232473.	-0.538	-0.119	0.064	0.43	*
887.38090737.PPR_repeat_domain_containing_protein__putative__expressed	0.0523	-0.502	0.55	0.046	*
8870.38232508.phycoerythrobilin_ferredoxin_oxidoreductase__putative__expressed	-0.406	-0.326	0.18	0.22	*
8872.38232546.sirohydrochlorin_ferrochelatase_B	0.759	-0.109	0.95	0.42	*
8874.38232565.histidine_triad_nucleotide_binding_4	0.0708	0.00826	0.55	0.5	*
8878.38232674.tat_pathway_signal_sequence_family_protein__expressed	-0.446	0.554	0.15	0.93	*
8883.38232746.glutathione_S_transferase_tau__5	0.219	0.0257	0.63	0.52	*
8888.38232835.	-0.155	-0.761	0.37	0.039	*
8895.38233013.RAB_GTPase_homolog_A3	-0.0343	-0.0968	0.47	0.44	*
8896.38233017.Tetratricopeptide_repeat__TPR__like_superfamily_protein	-0.469	-0.59	0.14	0.079	*
